time	V(vin)	V(vout)
4.081313322827536e-003	4.900831e-003	4.453221e-002
4.094566671041822e-003	5.609168e-003	5.161492e-002
4.107820019256107e-003	6.272196e-003	5.824474e-002
4.121073367470393e-003	6.889915e-003	6.442166e-002
4.134326715684678e-003	7.462326e-003	7.014571e-002
4.147580063898964e-003	7.989428e-003	7.541686e-002
4.160833412113249e-003	8.471222e-003	8.023512e-002
4.189432742470392e-003	9.286385e-003	8.838841e-002
4.218032072827533e-003	9.791376e-003	9.344061e-002
4.246631403184676e-003	9.986197e-003	9.539172e-002
4.275230733541818e-003	9.870847e-003	9.424175e-002
4.303830063898961e-003	9.445326e-003	8.999069e-002
4.332429394256102e-003	8.709634e-003	8.263854e-002
4.361028724613245e-003	7.663771e-003	7.218532e-002
4.372886983541816e-003	7.156101e-003	6.711080e-002
4.384745242470387e-003	6.616727e-003	6.171922e-002
4.396603501398959e-003	6.045647e-003	5.601056e-002
4.408461760327529e-003	5.442862e-003	4.998483e-002
4.420320019256100e-003	4.808371e-003	4.364203e-002
4.432178278184672e-003	4.142175e-003	3.698215e-002
4.444036537113243e-003	3.444274e-003	3.000521e-002
4.451375774104989e-003	3.004134e-003	2.560618e-002
4.458715011096735e-003	2.560421e-003	2.117102e-002
4.466054248088481e-003	2.113137e-003	1.669973e-002
4.473393485080228e-003	1.662282e-003	1.219230e-002
4.480732722071974e-003	1.207854e-003	7.648753e-003
4.488071959063720e-003	7.498544e-004	3.069071e-003
4.495411196055466e-003	2.882831e-004	-1.546742e-003
4.502386642484037e-003	-1.520414e-004	-5.949037e-003
4.509362088912608e-003	-5.899847e-004	-1.032756e-002
4.516337535341180e-003	-1.025547e-003	-1.468232e-002
4.523312981769750e-003	-1.458727e-003	-1.901330e-002
4.530288428198322e-003	-1.889527e-003	-2.332051e-002
4.537263874626893e-003	-2.317945e-003	-2.760396e-002
4.544239321055465e-003	-2.743982e-003	-3.186363e-002
4.556097579984036e-003	-3.461192e-003	-3.903465e-002
4.567955838912607e-003	-4.150103e-003	-4.592284e-002
4.579814097841179e-003	-4.810718e-003	-5.252821e-002
4.591672356769749e-003	-5.443034e-003	-5.885076e-002
4.603530615698320e-003	-6.047053e-003	-6.489049e-002
4.615388874626892e-003	-6.622774e-003	-7.064739e-002
4.627247133555463e-003	-7.170197e-003	-7.612146e-002
4.641895571055463e-003	-7.780503e-003	-8.222456e-002
4.656544008555462e-003	-8.324945e-003	-8.766926e-002
4.671192446055462e-003	-8.798915e-003	-9.240949e-002
4.680958071055462e-003	-9.073737e-003	-9.515820e-002
4.690723696055462e-003	-9.314408e-003	-9.756549e-002
4.700489321055461e-003	-9.520021e-003	-9.962231e-002
